movieId,title,genres,directors,actors,overview,voteAverage
128,Jupiter's Wife,"['Documentary', 'Biography', 'Mystery']",['Michel Negroponte'],"['Maggie Cogan', 'Katina Pendleton']","Michel Negroponte, a documentary filmmaker, meets Maggie one day in Central Park. Maggie claims to be married to the god Jupiter and the daughter of actor Robert Ryan. Michel gets to know Maggie over the next couple of years, and ...",7.1
129,Pie in the Sky,"['Comedy', 'Romance']",['Bryan Gordon'],"['Josh Charles', 'Anne Heche', 'John Goodman']",A whimsical saga of a young man whose two life-consuming passions are unraveling traffic gridlock and an avant-garde dancer. A romantic comedy.,5.8
132,Jade,"['Crime', 'Drama', 'Thriller']",['William Friedkin'],"['David Caruso', 'Linda Fiorentino', 'Chazz Palminteri']","A bright assistant D.A. investigates a gruesome hatchet murder and hides a clue he found at the crime scene. Under professional threats and an attempt on his life, he goes on heartbroken because evidence point to the woman he stil...",5.3
135,Down Periscope,['Comedy'],['David S. Ward'],"['Kelsey Grammer', 'Lauren Holly', 'Rob Schneider']","Lt. Cmdr. Tom Dodge is assigned as Captain to the USS Stingray, an old diesel driven submarine that has seen better days.",6.2
137,Man of the Year,"['Comedy', 'Romance']",['Dirk Shafer'],"['Vivian Paxton', 'Claudette Sutherland', 'Michael Ornstein']","Mockumentary look at Playgirl Magazine centerfold and 1992 Man of the Year, Dirk Shafer, who kept it a secret from the magazine that he is gay. Most of the film is a fictionalized retelling of Dirk's decision to send a photograph ...",6.0
140,Up Close & Personal,"['Drama', 'Romance']",['Jon Avnet'],"['Robert Redford', 'Michelle Pfeiffer', 'Stockard Channing']","An ambitious young woman, determined to build a career in television journalism, gets good advice from her first boss, and they fall in love.",6.1
141,The Birdcage,['Comedy'],['Mike Nichols'],"['Robin Williams', 'Nathan Lane', 'Gene Hackman']","A gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancée's right-wing, conservative parents.",7.2
144,The Brothers McMullen,"['Comedy', 'Drama', 'Romance']",['Edward Burns'],"['Jack Mulcahy', 'Michael McGlone', 'Edward Burns']","Three Irish Catholic brothers from Long Island struggle to deal with love, marriage, and infidelity.",6.6
145,Bad Boys,"['Action', 'Comedy', 'Crime']",['Michael Bay'],"['Will Smith', 'Martin Lawrence', 'Lisa Boyle']",Two hip detectives protect a witness to a murder while investigating a case of stolen heroin from the evidence storage room from their police precinct.,6.8
146,The Amazing Panda Adventure,"['Adventure', 'Drama', 'Family']",['Christopher Cain'],"['Stephen Lang', 'Ryan Slater', 'Yi Ding']",A young American boy visiting China helps his zoologist father rescue a panda cub from unscrupulous poachers while its reserve is threatened with closure from officious bureaucrats.,5.7
147,The Basketball Diaries,"['Biography', 'Crime', 'Drama']",['Scott Kalvert'],"['Leonardo DiCaprio', 'Lorraine Bracco', 'Marilyn Sokol']",A teenager finds his dreams of becoming a basketball star threatened after he free falls into the harrowing world of drug addiction.,7.3
148,An Awfully Big Adventure,"['Comedy', 'Drama', 'Romance']",['Mike Newell'],"['Hugh Grant', 'Alan Rickman', 'Georgina Cates']","Set right after World War II, a naive teenage girl joins a shabby theatre troupe in Liverpool. During a winter production of Peter Pan, the play quickly turns into a dark metaphor for youth as she becomes drawn into a web of sexua...",5.8
149,Amateur,"['Comedy', 'Crime', 'Drama']",['Hal Hartley'],"['Isabelle Huppert', 'Martin Donovan', 'Elina Löwensohn']","An amnesiac wakes up on an NYC alley. He meets Isabelle, an ex nun now erotic writer, at a diner and follows her home. She helps him find his identity. Then there's Sofia, the porn star.",6.8
150,Apollo 13,"['Adventure', 'Drama', 'History']",['Ron Howard'],"['Tom Hanks', 'Bill Paxton', 'Kevin Bacon']",NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.,7.7
151,Rob Roy,"['Adventure', 'Biography', 'Drama']",['Michael Caton-Jones'],"['Liam Neeson', 'Jessica Lange', 'John Hurt']","In 1713 Scotland, Rob Roy MacGregor is wronged by a nobleman and his nephew, becomes an outlaw in search of revenge while fleeing the Redcoats, and faces charges of being a Jacobite.",6.9
152,The Addiction,"['Drama', 'Horror']",['Abel Ferrara'],"['Lili Taylor', 'Christopher Walken', 'Annabella Sciorra']","A New York philosophy grad student turns into a vampire after getting bitten by one, and then tries to come to terms with her new lifestyle and frequent craving for human blood.",6.4
153,Batman Forever,"['Action', 'Adventure']",['Joel Schumacher'],"['Val Kilmer', 'Tommy Lee Jones', 'Jim Carrey']","Batman must battle former district attorney Harvey Dent, who is now Two-Face and Edward Nygma, The Riddler with help from an amorous psychologist and a young circus acrobat who becomes his sidekick, Robin.",5.4
154,Belle de Jour,"['Drama', 'Romance']",['Luis Buñuel'],"['Catherine Deneuve', 'Jean Sorel', 'Michel Piccoli']",A frigid young housewife decides to spend her midweek afternoons as a prostitute.,7.6
155,Beyond Rangoon,"['Action', 'Adventure', 'Drama']",['John Boorman'],"['Patricia Arquette', 'U Aung Ko', 'Frances McDormand']","Laura is trying to pick up the pieces of her life after the murder of her husband and son, and goes on vacation with her sister to Burma. After losing her passport at a political rally, she is left on her own for a few days, durin...",6.5
156,Blue in the Face,['Comedy'],"['Paul Auster', 'Wayne Wang', 'Harvey Wang']","['Harvey Keitel', 'Lou Reed', 'Michael J. Fox']","Brooklyn Cigar Store is a neighborhood hangout in Brooklyn with Auggie Wren/H.Keitel as center. Some people are interviewed about Brooklyn, spiced up with statistics on Brooklyn.",6.6
157,Canadian Bacon,"['Action', 'Comedy']",['Michael Moore'],"['John Candy', 'Alan Alda', 'Rhea Perlman']","The U.S. President, low in the opinion polls, gets talked into raising his popularity by trying to start a cold war against Canada.",5.9
158,Casper,"['Comedy', 'Family', 'Fantasy']",['Brad Silberling'],"['Bill Pullman', 'Christina Ricci', 'Cathy Moriarty']",An afterlife therapist and his daughter meet a friendly young ghost when they move into a crumbling mansion in order to rid the premises of wicked spirits.,6.2
159,Clockers,"['Crime', 'Drama', 'Mystery']",['Spike Lee'],"['Harvey Keitel', 'John Turturro', 'Delroy Lindo']","Young drug pushers in the projects of Brooklyn live hard dangerous lives, trapped between their drug bosses and the detectives out to stop them.",6.9
160,Congo,"['Action', 'Adventure', 'Mystery']",['Frank Marshall'],"['Laura Linney', 'Tim Curry', 'Dylan Walsh']","When an expedition to the African Congo ends in disaster, a new team is assembled to find out what went wrong.",5.3
161,Crimson Tide,"['Action', 'Drama', 'Thriller']",['Tony Scott'],"['Gene Hackman', 'Denzel Washington', 'Matt Craven']","On a U.S. nuclear missile sub, a young First Officer stages a mutiny to prevent his trigger-happy Captain from launching his missiles before confirming his orders to do so.",7.4
162,Crumb,"['Documentary', 'Biography', 'Comedy']",['Terry Zwigoff'],"['Robert Crumb', 'Aline Kominsky-Crumb', 'Charles Crumb']",An intimate portrait of controversial cartoonist Robert Crumb and his traumatized family.,8.0
163,Desperado,"['Action', 'Crime', 'Drama']",['Robert Rodriguez'],"['Antonio Banderas', 'Salma Hayek', 'Joaquim de Almeida']",Former musician and gunslinger El Mariachi arrives at a small Mexican border town after being away for a long time. His past quickly catches up with him and he soon gets entangled with the local drug kingpin Bucho and his gang.,7.1
164,Devil in a Blue Dress,"['Crime', 'Drama', 'Mystery']",['Carl Franklin'],"['Denzel Washington', 'Tom Sizemore', 'Jennifer Beals']","A Black war hero is hired to find a mysterious woman, and gets mixed up in a murderous political scandal in 1948 Los Angeles.",6.8
165,Die Hard with a Vengeance,"['Action', 'Adventure', 'Thriller']",['John McTiernan'],"['Bruce Willis', 'Jeremy Irons', 'Samuel L. Jackson']","John McClane and a Harlem store owner are targeted by German terrorist Simon in New York City, where he plans to rob the Federal Reserve Building.",7.6
166,The Doom Generation,"['Comedy', 'Crime', 'Drama']",['Gregg Araki'],"['James Duval', 'Rose McGowan', 'Johnathon Schaech']","Jordan White and Amy Blue, two troubled teens, pick up an adolescent drifter, Xavier Red. Together, the threesome embark on a sex-and-violence-filled journey through an America of psychos and quickie marts.",6.1
168,First Knight,"['Action', 'Adventure', 'Drama']",['Jerry Zucker'],"['Sean Connery', 'Richard Gere', 'Julia Ormond']","Lancelot falls in love with Guinevere, who is due to be married to King Arthur. Meanwhile, a violent warlord tries to seize power from Arthur and his Knights of the Round Table.",6.0
169,Free Willy 2: The Adventure Home,"['Adventure', 'Drama', 'Family']",['Dwight H. Little'],"['Jason James Richter', 'Michael Madsen', 'Francis Capra']",Teenager Jesse becomes reunited with Willy two years after the whale's jump to freedom as the teenager tries to rescue the killer whale and other orcas from an oil spill.,5.1
170,Hackers,"['Crime', 'Drama', 'Romance']",['Iain Softley'],"['Jonny Lee Miller', 'Angelina Jolie', 'Jesse Bradford']",Teenage hackers discover a criminal conspiracy with plans to use a computer virus that will capsize five oil tankers.,6.2
171,Jeffrey,"['Comedy', 'Drama']",['Christopher Ashley'],"['Steven Weber', 'Michael T. Weiss', 'Peter Jacobson']",A poignant romantic comedy about the quest for love and intimacy in the age of AIDS. A story of a thirtyish gay actor/waiter who decides to become celibate...the risk of AIDS has taken all the joy from sex.,6.8
172,Johnny Mnemonic,"['Action', 'Drama', 'Sci-Fi']",['Robert Longo'],"['Keanu Reeves', 'Dolph Lundgren', 'Dina Meyer']","A data courier, literally carrying a data package inside his head, must deliver it before he dies from the burden or is killed by the Yakuza.",5.6
173,Judge Dredd,"['Action', 'Crime', 'Sci-Fi']",['Danny Cannon'],"['Sylvester Stallone', 'Armand Assante', 'Rob Schneider']","In a dystopian future, Joseph Dredd, the most famous Judge (a police officer with instant field judiciary powers), is convicted for a crime he did not commit and must face his murderous counterpart.",5.6
174,Jury Duty,['Comedy'],['John Fortenberry'],"['Pauly Shore', 'Tia Carrere', 'Stanley Tucci']",Jobless loser Tommy Collins is sequestered to be a juror in a serial killer trial. He does everything he can to prolong the trial and deliberations to take full advantage of the free lodging and food.,4.3
175,Kids,['Drama'],['Larry Clark'],"['Leo Fitzpatrick', 'Justin Pierce', 'Chloë Sevigny']","A day in the life of a group of teens as they travel around New York City skating, drinking, smoking and deflowering virgins.",7.0
176,Living in Oblivion,"['Comedy', 'Drama']",['Tom DiCillo'],"['Steve Buscemi', 'Catherine Keener', 'Dermot Mulroney']",This ultimate tribute to all independent filmmakers takes place during one day on the set of a non-budget movie.,7.5
177,Lord of Illusions,"['Horror', 'Mystery', 'Thriller']",['Clive Barker'],"['Scott Bakula', ""Kevin J. O'Connor"", 'J. Trevor Edmond']",A private detective guards an illusionist's beautiful Wife.,6.0
178,Love and Human Remains,"['Comedy', 'Drama']",['Denys Arcand'],"['Thomas Gibson', 'Ruth Marshall', 'Cameron Bancroft']","Set in a dreary urban landscape of Edmonton, LOVE AND HUMAN REMAINS is a dark comedy about a group of twentysomethings looking for love and meaning in the '90s. The film focuses on roommates David, a gay waiter who has has given u...",6.6
179,Mad Love,"['Comedy', 'Drama', 'Romance']",['Antonia Bird'],"[""Chris O'Donnell"", 'Drew Barrymore', 'Matthew Lillard']",The wild and sexy story of two passionate young people who take to the road for the incredible adventure of their lives.,5.3
180,Mallrats,"['Comedy', 'Romance']",['Kevin Smith'],"['Shannen Doherty', 'Jeremy London', 'Jason Lee']","Both dumped by their girlfriends, two best friends seek refuge in the local mall.",7.0
181,Mighty Morphin Power Rangers,"['Action', 'Adventure', 'Family']",['Bryan Spicer'],"['Karan Ashley', 'Johnny Yong Bosch', 'Steve Cardenas']","A giant egg is unearthed at a construction site and soon opened, releasing the terrible Ivan Ooze, who wreaks vengeance on Zordon for imprisoning him millennia ago. With Zordon dying and their powers lost, the Rangers head to a di...",5.3
183,Mute Witness,"['Crime', 'Horror', 'Thriller']",['Anthony Waller'],"['Marina Zudina', 'Fay Ripley', 'Evan Richards']","A mute make-up artist working on a slasher movie being shot in Moscow, is locked in the studio after hours. While there, she witnesses a brutal murder, and must escape capture.",6.7
184,Nadja,"['Drama', 'Horror']",['Michael Almereyda'],"['Elina Löwensohn', 'Peter Fonda', 'Nic Ratner']","This ultra-hip, post-modern vampire tale is set in contemporary New York City. Members of a dysfunctional family of vampires are trying to come to terms with each other, in the wake of their father's death. Meanwhile, they are bei...",6.0
185,The Net,"['Action', 'Crime', 'Drama']",['Irwin Winkler'],"['Sandra Bullock', 'Jeremy Northam', 'Dennis Miller']","When Angela Bennett, a computer programmer, stumbles upon government secrets, she finds herself on the run from an unknown enemy hell-bent on destroying her completely.",6.0
186,Nine Months,"['Comedy', 'Romance']",['Chris Columbus'],"['Hugh Grant', 'Julianne Moore', 'Tom Arnold']","When he finds out his longtime girlfriend is pregnant, a commitment-phobe realizes he might have to change his lifestyle for better or much, much worse.",5.5
187,Party Girl,"['Comedy', 'Drama', 'Romance']",['Daisy von Scherler Mayer'],"['Parker Posey', 'Omar Townsend', 'The Lady Bunny']","A 20-something, irresponsible party girl is bailed out of jail by her librarian godmother. To repay the loan, she starts working at the library and gradually turns her life around.",6.5
188,The Prophecy,"['Action', 'Crime', 'Drama']",['Gregory Widen'],"['Christopher Walken', 'Elias Koteas', 'Virginia Madsen']","At the scene of a bizarre murder, L.A. homicide detective Thomas Dagget discovers a lethal heavenly prophecy now being fulfilled on earth. In his fight to stop the forces of evil, he finds an unlikely ally in an elementary school ...",6.4
189,Reckless,"['Comedy', 'Drama', 'Fantasy']",['Norman René'],"['Mia Farrow', 'Tony Goldwyn', 'Juana Barrios']","On Christmas Eve, a regretful husband admits to his high-spirited wife that he has hired a contract killer to take her out. She immediately flees. A nice couple offers her shelter, but everyone have dark secrets in this wacky movie.",5.2
190,Safe,['Drama'],['Todd Haynes'],"['Julianne Moore', 'Xander Berkeley', 'Dean Norris']",An affluent and unexceptional homemaker in the suburbs develops multiple chemical sensitivity.,7.1
191,The Scarlet Letter,"['Drama', 'Romance']",['Roland Joffé'],"['Demi Moore', 'Gary Oldman', 'Robert Duvall']",An affair between a young woman and a pastor has disastrous consequences.,5.3
193,Showgirls,['Drama'],['Paul Verhoeven'],"['Elizabeth Berkley', 'Kyle MacLachlan', 'Gina Gershon']","A mysterious young drifter who calls herself Nomi Malone hitches a ride to Las Vegas, where she finds work as a stripper and sets about clawing her way to the top of the Vegas showgirls.",5.1
194,Smoke,"['Comedy', 'Drama']",['Wayne Wang'],"['Harvey Keitel', 'William Hurt', 'Giancarlo Esposito']","A Brooklyn smoke shop is the center of neighborhood activity, and the stories of its customers.",7.4
195,Something to Talk About,"['Comedy', 'Drama', 'Romance']",['Lasse Hallström'],"['Julia Roberts', 'Dennis Quaid', 'Robert Duvall']",A woman's world is rocked when she discovers her husband is cheating on her.,5.7
196,Species,"['Action', 'Horror', 'Sci-Fi']",['Roger Donaldson'],"['Natasha Henstridge', 'Michael Madsen', 'Ben Kingsley']",A group of scientists try to track down and trap a killer alien seductress before she successfully mates with a human.,5.9
198,Strange Days,"['Crime', 'Drama', 'Sci-Fi']",['Kathryn Bigelow'],"['Ralph Fiennes', 'Angela Bassett', 'Juliette Lewis']",A former cop turned street-hustler accidentally uncovers a conspiracy in Los Angeles in 1999.,7.2
199,The Umbrellas of Cherbourg,"['Drama', 'Musical', 'Romance']",['Jacques Demy'],"['Catherine Deneuve', 'Nino Castelnuovo', 'Anne Vernon']",A young woman separated from her lover by war faces a life-altering decision.,7.8
201,Three Wishes,"['Drama', 'Family', 'Fantasy']",['Martha Coolidge'],"['Patrick Swayze', 'Mary Elizabeth Mastrantonio', 'Joseph Mazzello']","In an unexplained act of charity, Jeanne Holman, picks up an injured, apparent tramp and takes him home to care for him little realizing who he was, or the effect he would have on her life and those of her family.",6.1
202,Total Eclipse,"['Biography', 'Drama', 'Romance']",['Agnieszka Holland'],"['Leonardo DiCaprio', 'David Thewlis', 'Romane Bohringer']","Young, wild poet Arthur Rimbaud and his mentor Paul Verlaine engage in a fierce, forbidden romance while feeling the effects of a hellish artistic lifestyle.",6.5
203,"To Wong Foo, Thanks for Everything! Julie Newmar","['Comedy', 'Drama']",['Beeban Kidron'],"['Wesley Snipes', 'Patrick Swayze', 'John Leguizamo']","Three drag queens travel cross-country until their car breaks down, leaving them stranded in a small town.",6.8
204,Under Siege 2: Dark Territory,"['Action', 'Adventure', 'Thriller']",['Geoff Murphy'],"['Steven Seagal', 'Eric Bogosian', 'Everett McGill']","Casey Ryback hops on a Colorado to LA train to start a vacation with his niece. Early into the trip, terrorists board the train and use it as a mobile HQ to hijack a top secret destructive US satellite.",5.6
205,Unstrung Heroes,"['Comedy', 'Drama']",['Diane Keaton'],"['Andie MacDowell', 'John Turturro', 'Michael Richards']","When a youngster needs a break from the pressures of his parents' household, he moves in with his offbeat uncles and learns some invaluable life lessons.",6.7
206,Unzipped,['Documentary'],['Douglas Keeve'],"['Isaac Mizrahi', 'Roseanne Barr', 'Sandra Bernhard']",One of the most successful designers in high fashion plans his fall 1994 collection. Follow the behind-the-scenes look at the creative side of fashion.,6.4
207,A Walk in the Clouds,"['Drama', 'Romance']",['Alfonso Arau'],"['Keanu Reeves', 'Aitana Sánchez-Gijón', 'Anthony Quinn']","Paul Sutton, a young married soldier, befriends a pregnant lady who is petrified her father will disown her, and agrees to pose as her boyfriend. As time passes, they start growing fond of each other.",6.7
208,Waterworld,"['Action', 'Adventure', 'Sci-Fi']",['Kevin Reynolds'],"['Kevin Costner', 'Jeanne Tripplehorn', 'Dennis Hopper']","In a future where the polar ice-caps have melted and Earth is almost entirely submerged, a mutated mariner fights starvation and outlaw ""smokers,"" and reluctantly helps a woman and a young girl try to find dry land.",6.3
209,White Man's Burden,"['Drama', 'Thriller']",['Desmond Nakano'],"['John Travolta', 'Harry Belafonte', 'Kelly Lynch']","In an alternative America where African-Americans and White Americans have reversed cultural roles, a white factory worker kidnaps a black factory owner for dismissing him over perceived disdain.",5.3
210,Wild Bill,"['Action', 'Biography', 'Drama']",['Walter Hill'],"['Jeff Bridges', 'Ellen Barkin', 'John Hurt']",The early career of legendary lawman Wild Bill Hickock is telescoped and culminates in his relocation in Deadwood and a reunion with Calamity Jane.,5.8
211,The Browning Version,['Drama'],['Mike Figgis'],"['Albert Finney', 'Greta Scacchi', 'Matthew Modine']","On the verge of forced resignation, a strict old-fashioned teacher rethinks his life.",7.2
212,Bushwhacked,"['Adventure', 'Comedy', 'Crime']",['Greg Beeman'],"['Daniel Stern', 'Jon Polito', 'Brad Sullivan']","Framed for murder and on the run from authorities, a sleazy courier poses as a scout leader. But he has no idea what he's in for when he must actually take charge of a group of kids on a hiking trip.",5.6
213,Burnt by the Sun,"['Drama', 'War']",['Nikita Mikhalkov'],"['Nikita Mikhalkov', 'Ingeborga Dapkunaite', 'Oleg Menshikov']","In the USSR in 1936, shadows of Stalin's repressions fall on a famous, revolutionary hero. The accusations of him being a foreign spy are nonsense, and everyone knows that. However, a slow process of his downfall has already started.",7.8
214,Before the Rain,"['Drama', 'Romance', 'War']",['Milcho Manchevski'],"['Katrin Cartlidge', 'Rade Serbedzija', 'Grégoire Colin']",Three interconnected stories of love under the threat of civil war in Macedonia and London.,7.8
215,Before Sunrise,"['Drama', 'Romance']",['Richard Linklater'],"['Ethan Hawke', 'Julie Delpy', 'Andrea Eckert']","A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",8.1
216,Billy Madison,['Comedy'],['Tamra Davis'],"['Adam Sandler', 'Darren McGavin', 'Bridgette Wilson-Sampras']","In order to inherit his fed-up father Brian's hotel empire, immature and lazy Billy Madison must repeat grades one through twelve all over again. The further Billy progresses, the harder his hated rival Eric Gordon tries to stop him.",6.4
217,The Babysitter,"['Drama', 'Thriller']",['Guy Ferland'],"['Alicia Silverstone', 'Jeremy London', 'J.T. Walsh']",A teenage babysitter is the focus of two boys and a man's separate obsessions.,4.3
218,Boys on the Side,"['Comedy', 'Drama']",['Herbert Ross'],"['Whoopi Goldberg', 'Mary-Louise Parker', 'Drew Barrymore']","Robin shares a ride in her car with Jane from New York to Los Angeles. They stop at Jane's friend Holly's place in Pittsburgh and take her with them west, making a long stop in Tucson. The three very different women become close f...",6.5
219,The Cure,"['Adventure', 'Drama']",['Peter Horton'],"['Joseph Mazzello', 'Brad Renfro', 'Aeryk Egan']","Erik, a loner, finds a friend in Dexter, an eleven-year-old boy with AIDS. They vow to find a cure for AIDS together and save Dexter's life in an eventful summer.",7.7
220,Castle Freak,"['Drama', 'Horror', 'Mystery', 'Thriller']",['Stuart Gordon'],"['Jeffrey Combs', 'Barbara Crampton', 'Jonathan Fuller']",A man struggles to save his family from the strange and deadly occurrences in the castle they've inherited.,6.0
222,Circle of Friends,"['Drama', 'Romance']","[""Pat O'Connor""]","[""Chris O'Donnell"", 'Minnie Driver', ""Geraldine O'Rawe""]","Three women, who've been friends since childhood, meet at university in Dublin in 1957. Student and boyfriend life begins.",6.6
223,Clerks,['Comedy'],['Kevin Smith'],"[""Brian O'Halloran"", 'Jeff Anderson', 'Marilyn Ghigliotti']","A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof.",7.7
224,Don Juan DeMarco,"['Comedy', 'Drama', 'Romance']",['Jeremy Leven'],"['Johnny Depp', 'Marlon Brando', 'Faye Dunaway']","A psychiatrist must cure a young patient who presents himself as Don Juan, the world's greatest lover.",6.7
225,Disclosure,"['Drama', 'Thriller']",['Barry Levinson'],"['Michael Douglas', 'Demi Moore', 'Donald Sutherland']","A computer specialist is sued for sexual harassment by a former lover turned boss who initiated the act forcefully, which threatens both his career and his personal life.",6.2
227,Drop Zone,"['Action', 'Adventure', 'Thriller']",['John Badham'],"['Wesley Snipes', 'Gary Busey', 'Yancy Butler']",A tough cop teams up with a professional skydiver to capture a renegade computer hacker on the run from the law.,5.6
228,Destiny Turns on the Radio,"['Crime', 'Comedy', 'Fantasy']",['Jack Baran'],"['Dylan McDermott', 'Nancy Travis', 'Quentin Tarantino']","After 3 years in prison, Julian breaks out and returns to Vegas to get his half from the bank robbery and see Lucille again. The Devil took the loot and Tuerto took Lucille.",4.5
229,Death and the Maiden,"['Drama', 'Mystery', 'Thriller']",['Roman Polanski'],"['Sigourney Weaver', 'Ben Kingsley', 'Stuart Wilson']",A political activist is convinced that her guest is a man who once tortured her for the government.,7.2
230,Dolores Claiborne,"['Crime', 'Drama', 'Mystery']",['Taylor Hackford'],"['Kathy Bates', 'Jennifer Jason Leigh', 'Christopher Plummer']",A big city reporter travels to a small town where her mother has been arrested for the murder of an elderly woman for whom she worked as a housekeeper.,7.4
231,Dumb and Dumber,['Comedy'],"['Peter Farrelly', 'Bobby Farrelly']","['Jim Carrey', 'Jeff Daniels', 'Lauren Holly']","After a woman leaves a briefcase at the airport terminal, a dumb limo driver and his dumber friend set out on a hilarious cross-country road trip to Aspen to return it.",7.3
232,Eat Drink Man Woman,"['Comedy', 'Drama', 'Romance']",['Ang Lee'],"['Sihung Lung', 'Kuei-Mei Yang', 'Wang Yu-wen']",A senior chef lives with his three grown daughters; the middle one finds her future plans affected by unexpected events and the life changes of the other household members.,7.8
233,Exotica,['Drama'],['Atom Egoyan'],"['Bruce Greenwood', 'Elias Koteas', 'Don McKellar']","A man plagued by neuroses frequents the club Exotica in an attempt to find solace, but even there his past is never far away.",7.0
234,Exit to Eden,"['Comedy', 'Crime', 'Romance']",['Garry Marshall'],"['Dana Delany', 'Dan Aykroyd', ""Rosie O'Donnell""]","Elliot heads for the sexual fantasy island, Eden. He takes some photos of diamond smugglers. They and undercover cops want the photos and follow him to Eden.",4.3
235,Ed Wood,"['Biography', 'Comedy', 'Drama']",['Tim Burton'],"['Johnny Depp', 'Martin Landau', 'Sarah Jessica Parker']",Ambitious but troubled movie director Edward D. Wood Jr. tries his best to fulfill his dreams despite his lack of talent.,7.8
236,French Kiss,"['Comedy', 'Drama', 'Romance']",['Lawrence Kasdan'],"['Meg Ryan', 'Kevin Kline', 'Timothy Hutton']",A woman flying to France to confront her straying fiance gets into trouble when the charming crook seated next to her uses her for smuggling.,6.6
237,Forget Paris,"['Comedy', 'Romance']",['Billy Crystal'],"['Billy Crystal', 'Debra Winger', 'Joe Mantegna']","Mickey, an NBA referee, meets Ellen, an American airline official, in Paris. It develops into a relationship of ups and downs.",6.5
238,Far from Home: The Adventures of Yellow Dog,"['Adventure', 'Family']",['Phillip Borsos'],"['Jesse Bradford', 'Mimi Rogers', 'Bruce Davison']","Angus McCormick adopts a stray dog and names him Yellow. Several days later, while traveling along the coast of British Columbia with his father, John, he and Yellow become stranded when turbulent waters capsize their boat. John a...",6.3
239,A Goofy Movie,"['Animation', 'Adventure', 'Comedy']",['Kevin Lima'],"['Bill Farmer', 'Jason Marsden', 'Jim Cummings']","When Max makes a preposterous promise to a girl he has a crush on, his chances to fulfilling it seem hopeless when he is dragged onto a cross-country trip with his embarrassing father, Goofy.",6.9
240,Hideaway,"['Fantasy', 'Horror', 'Thriller']",['Brett Leonard'],"['Jeff Goldblum', 'Christine Lahti', 'Alicia Silverstone']","Family man Hatch Harrison gets a special resuscitative medicine after ""dying"" in a car accident. Afterwards, he starts having strange nightmares such as killing a teen girl. Is it just dreams?",5.3
241,Fluke,"['Drama', 'Family', 'Fantasy']",['Carlo Carlei'],"['Matthew Modine', 'Nancy Travis', 'Samuel L. Jackson']","After a man dies in a car crash, he is reincarnated as a dog and attempts to reconnect with his family.",6.6
242,Farinelli,"['Biography', 'Drama', 'Music']",['Gérard Corbiau'],"['Stefano Dionisi', 'Enrico Lo Verso', 'Elsa Zylberstein']","The story of castrato opera singer Carlo Broschi, who enthralled 18th-century European audiences under his stage name Farinelli.",6.8
243,Gordy,"['Comedy', 'Drama', 'Family']",['Mark Lewis'],"['Kristy Young', 'Doug Stone', 'James Donadio']",A talking pig named Gordy becomes involved in a quest to save his family from the slaughterhouse.,3.8
246,Hoop Dreams,"['Documentary', 'Drama', 'Sport']",['Steve James'],"['William Gates', 'Arthur Agee', 'Emma Gates']",A film following the lives of two inner-city Chicago boys who struggle to become college basketball players on the road to going professional.,8.3
247,Heavenly Creatures,"['Biography', 'Crime', 'Drama']",['Peter Jackson'],"['Melanie Lynskey', 'Kate Winslet', 'Sarah Peirse']","Two teenage girls share a unique bond: their parents, concerned that the friendship is too intense, separate them, and the girls take revenge.",7.3
248,Houseguest,['Comedy'],['Randall Miller'],"['Sinbad', 'Phil Hartman', 'Kim Greist']","In hot water with the mob over an unpaid debt, a con man poses as a family friend in an affluent Pennsylvania suburb.",5.9
249,Immortal Beloved,"['Biography', 'Drama', 'Music']",['Bernard Rose'],"['Gary Oldman', 'Jeroen Krabbé', 'Isabella Rossellini']","A biopic exploring Beethoven's tumultuous life, focusing on his romantic pursuits. The film investigates the identity of the mysterious woman to whom the composer penned a passionate love letter, delving into his complex relations...",7.4
250,Heavyweights,"['Comedy', 'Drama', 'Family']",['Steven Brill'],"['Tom McGowan', 'Aaron Schwartz', 'Ben Stiller']","Plump kids are lured into joining a posh fat camp with the promise of quick weight loss and good times, only to find that it is a woodland hellhole run by a psycho ex-fitness instructor.",6.6
251,The Hunted,"['Action', 'Drama', 'Thriller']",['J.F. Lawton'],"['Christopher Lambert', 'John Lone', 'Joan Chen']","An American businessman visiting Nagoya, Japan, meets a woman in a hotel bar. Returning to her room, 3 ninjas kill her and wound him, but he sees the ninja boss' face. Now, he's the prime target of a dangerous ninja cult.",5.9
252,I.Q.,"['Comedy', 'Romance']",['Fred Schepisi'],"['Tim Robbins', 'Meg Ryan', 'Walter Matthau']","A mechanic romances the mathematician niece of physicist Albert Einstein, with help from him and his friends.",6.2
253,Interview with the Vampire,"['Drama', 'Fantasy', 'Horror']",['Neil Jordan'],"['Brad Pitt', 'Tom Cruise', 'Antonio Banderas']","A vampire tells his epic life story: love, betrayal, loneliness, and hunger.",7.5
